excluded_id,status,reason
X01,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X02,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X03,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X04,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X05,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X06,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X07,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X08,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X09,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X10,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X11,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X12,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X13,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X14,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X15,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X16,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X17,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X18,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X19,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X20,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X21,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X22,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X23,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X24,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X25,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
X26,excluded,"Under 50 cells at 48 hpf; dropped before the set was cut. No cells in the matrix, no key entry, not scored."
