id	name	kind	depth	is_a	part_of	start_stage	end_stage	synonyms
ZFA:0000000	Brachet's cleft	structure	3	ZFA:0001105		ZFS:0000020	ZFS:0000024	
ZFA:0000001	Kupffer's vesicle	structure	3	ZFA:0001105	ZFA:0000077	ZFS:0000023	ZFS:0000029	ciliated organ of asymmetry [EXACT]
ZFA:0000003	adaxial cell	cell	3	ZFA:0009000	ZFA:0000279	ZFS:0000022	ZFS:0000029	adaxial cells [EXACT]
ZFA:0000004	anterior axial hypoblast	structure	3	ZFA:0001477	ZFA:0001378	ZFS:0000020	ZFS:0000022	pre-polster [EXACT]
ZFA:0000005	artery	structure	4	ZFA:0005314	ZFA:0001079	ZFS:0000028	ZFS:0000044	arterial system [RELATED]
ZFA:0000006	ball	structure	3	ZFA:0001308	ZFA:0000084	ZFS:0000025	ZFS:0000036	yolk ball [EXACT]
ZFA:0000007	blood	structure	2	ZFA:0001487	ZFA:0005023	ZFS:0000028	ZFS:0000044	
ZFA:0000008	brain	structure	4	ZFA:0001490	ZFA:0000012	ZFS:0000025	ZFS:0000044	brain structure [RELATED]
ZFA:0000009	cardiac ventricle	structure	4	ZFA:0001490	ZFA:0000114	ZFS:0000032	ZFS:0000044	ventricle [EXACT]
ZFA:0000010	cardiovascular system	structure	4	ZFA:0001439		ZFS:0000024	ZFS:0000044	
ZFA:0000011	caudal artery	structure	5	ZFA:0000005	ZFA:0005037;ZFA:0005295	ZFS:0000028	ZFS:0000044	CA [EXACT]
ZFA:0000012	central nervous system	structure	5	ZFA:0000396		ZFS:0000022	ZFS:0000044	cns [EXACT]
ZFA:0000013	cranial ganglion	structure	4	ZFA:0000190		ZFS:0000023	ZFS:0000044	cranial ganglia [EXACT] | presumptive cranial ganglia [RELATED]
ZFA:0000014	dorsal aorta	structure	5	ZFA:0000005	ZFA:0005024;ZFA:0005295	ZFS:0000028	ZFS:0000044	DA [EXACT] | dorsal aortic root [EXACT]
ZFA:0000016	ectoderm	structure	4	ZFA:0001122		ZFS:0000020	ZFS:0000038	
ZFA:0000017	endoderm	structure	4	ZFA:0001122		ZFS:0000020	ZFS:0000035	
ZFA:0000018	epiblast	structure	3	ZFA:0001105	ZFA:0000111	ZFS:0000018	ZFS:0000022	
ZFA:0000019	epiphysis	structure	3	ZFA:0001488	ZFA:0001127;ZFA:0001158;ZFA:0001359	ZFS:0000025	ZFS:0000044	corpus pineale [EXACT] | pineal gland [EXACT] | pineal organ [EXACT]
ZFA:0000020	extraembryonic structure	structure	2	ZFA:0000037		ZFS:0000001	ZFS:0000032	extraembryonic structures [EXACT]
ZFA:0000022	floor plate	structure	3	ZFA:0001488	ZFA:0000012	ZFS:0000024	ZFS:0000044	floorplate [EXACT] | fp [EXACT]
ZFA:0000023	forerunner cell group	structure	3	ZFA:0001105		ZFS:0000017	ZFS:0000023	DFCs [EXACT] | dorsal forerunner cells [EXACT] | forerunner cells [EXACT]
ZFA:0000024	retinal ganglion cell layer	structure	3	ZFA:0001477	ZFA:0000046	ZFS:0000030	ZFS:0000044	ganglion cell layer [EXACT]
ZFA:0000026	hatching gland	structure	3	ZFA:0001105		ZFS:0000025	ZFS:0000034	hgg [EXACT]
ZFA:0000027	paired fin skeleton	structure	5	ZFA:0000434	ZFA:0005596	ZFS:0000000	ZFS:0000044	appendicular skeleton [EXACT]
ZFA:0000028	heart primordium	structure	3	ZFA:0001477	ZFA:0000010	ZFS:0000024	ZFS:0000027	cardiac field [EXACT] | heart primordia [EXACT]
ZFA:0000029	hindbrain	structure	3	ZFA:0001488	ZFA:0000008	ZFS:0000025	ZFS:0000044	rhombencephalon [EXACT]
ZFA:0000030	macula utricle	structure	4	ZFA:0000386	ZFA:0000700	ZFS:0000000	ZFS:0000044	maculae utricle [EXACT]
ZFA:0000031	hypochord	structure	3	ZFA:0001477	ZFA:0000017	ZFS:0000025	ZFS:0000035	
ZFA:0000032	hypothalamus	structure	3	ZFA:0001488	ZFA:0000101	ZFS:0000028	ZFS:0000044	
ZFA:0000033	intermediate cell mass of mesoderm	structure	3	ZFA:0001477	ZFA:0005023	ZFS:0000026	ZFS:0000033	ICM [EXACT] | intermediate cell mass of Oellacher [EXACT] | posterior intermediate cell mass [EXACT]
