Therapeutic,ComplexityScore,Category,TextDescription,MonetaryImpact
Ivacaftor (Kalydeco),1,Respiratory,"A CFTR modulator for a specific cystic fibrosis mutation. Primarily targets a single protein to improve chloride ion flow in epithelial cells, leading to better respiratory function.",1100
Penicillin,2,Infectious,"A classic β-lactam antibiotic that disrupts bacterial cell wall synthesis, showing minimal gene regulatory network (GRN) changes in the host.",700
Warfarin,3,Cardiovascular,"A vitamin K antagonist anticoagulant that inhibits vitamin K epoxide reductase. Has limited interplay with broader host gene networks.",800
Omeprazole,3,Gastrointestinal,"A proton pump inhibitor that lowers gastric acid production. Shows minimal off-target gene regulatory effects in the host.",3000
Levothyroxine,4,Endocrine,"A synthetic T4 thyroid hormone replacement. Primarily replaces a single endogenous hormone with modest downstream gene regulation.",3200
Metformin,5,Diabetes,"A first-line anti-hyperglycemic that reduces hepatic glucose output. Influences metabolic gene networks but remains relatively moderate in scope.",8000
Acetaminophen (Paracetamol),5,Pain/Inflammation,"An analgesic/antipyretic with a relatively straightforward biochemical pathway. Minimal broader gene-regulatory involvement.",4500
Aspirin,5,Cardiovascular,"A classic NSAID that irreversibly inhibits COX enzymes. It has limited direct gene regulation but is widely used for its antiplatelet effects.",2300
Ibuprofen,6,Pain/Inflammation,"An NSAID similar to aspirin, though slightly broader in its modulation of inflammatory signaling. Still relatively modest in gene-level changes.",3700
Albuterol (Salbutamol),6,Respiratory,"A β2-adrenergic agonist used for asthma/COPD. Primarily works via receptor signaling with mild downstream gene expression changes.",2200
Insulin (Human Recombinant),7,Diabetes,"Replaces or supplements endogenous insulin to regulate glucose uptake. Can trigger moderate metabolic gene transcription pathways.",26000
Atorvastatin,7,Cardiovascular,"An HMG-CoA reductase inhibitor that lowers cholesterol. Modulates lipid metabolism genes, leading to moderate gene expression changes.",9400
Losartan,7,Cardiovascular,"An angiotensin II receptor blocker that helps control blood pressure. Involves mild shifts in renin–angiotensin system gene expression.",5000
Doxycycline,8,Infectious,"A tetracycline antibiotic that blocks bacterial protein synthesis. Has minimal impact on the host’s gene regulatory networks.",200
Furosemide,8,Cardiovascular,"A loop diuretic acting on the Na+/K+/2Cl− transporter in the kidney. Some downstream gene effects but primarily acts at transport channels.",1000
Acyclovir,9,Infectious,"An antiviral drug (mainly against HSV) that inhibits viral DNA polymerase. Has only minor interplay with host gene regulation.",700
Sildenafil,9,Cardiovascular,"A PDE5 inhibitor used for erectile dysfunction and pulmonary hypertension. Works through the cGMP pathway with minimal broad gene impact.",4800
Amoxicillin,10,Infectious,"A broad-spectrum β-lactam antibiotic that inhibits bacterial cell wall synthesis. Limited gene regulation in the human host.",3200
Ranitidine (historical),10,Gastrointestinal,"An H2 receptor antagonist for reducing stomach acid. Shows minimal direct gene involvement; discontinued in many markets.",800
Vancomycin,11,Infectious,"A glycopeptide antibiotic that inhibits bacterial cell wall synthesis. Complex mechanism for bacteria, but limited host GRN effects.",1500
Prednisone,12,Autoimmune,"A corticosteroid that exerts broader gene expression changes in inflammation and immune pathways.",650
Tamoxifen,12,Cancer,"A selective estrogen receptor modulator (SERM). Moderate gene-regulatory impact in hormone-responsive tissues.",900
Methotrexate,13,Autoimmune,"An antimetabolite impacting folate metabolism, used in cancer and autoimmune conditions. Triggers some gene expression changes.",2700
Heparin,13,Cardiovascular,"An anticoagulant working mainly at the enzymatic/protein-binding level (antithrombin III). Limited direct gene-level modulation.",800
Clopidogrel,14,Cardiovascular,"An antiplatelet agent modifying platelet activation through the P2Y12 receptor. Mild genomic interplay.",2300
Cyclobenzaprine,14,Neurological/Psych,"A muscle relaxant acting centrally with limited direct gene regulation. Primarily alters neuromuscular modulation.",500
Azithromycin,14,Infectious,"A macrolide antibiotic interfering with bacterial protein synthesis. Little to no substantial host gene effects.",3800
Loratadine,15,Allergy/Respiratory,"A peripheral H1-receptor antagonist for allergies. Causes minimal gene expression changes in human cells.",2400
Aripiprazole,16,Neurological/Psych,"An atypical antipsychotic with partial dopamine/serotonin agonism. Moderately affects neuronal signaling and some gene expression.",4400
Fluoxetine,16,Neurological/Psych,"An SSRI antidepressant modulating serotonin reuptake. Leads to modest downstream changes in mood-regulating gene networks.",4500
Lidocaine,17,Pain/Inflammation,"A local anesthetic that blocks voltage-gated sodium channels. Has minimal gene-level regulatory effects.",800
Naloxone,17,Neurological/Psych,"An opioid receptor antagonist used for overdose reversal. Primarily blocks opioid signaling with minimal direct gene effects.",1200
Allopurinol,18,Other (Gout),"A xanthine oxidase inhibitor for gout. Mild upstream gene involvement in purine metabolism, but not extensive.",700
Baclofen,18,Neurological/Psych,"A GABA_B receptor agonist used for muscle spasticity. Some synaptic plasticity gene regulation, though not extensive.",250
Ciprofloxacin,19,Infectious,"A fluoroquinolone antibiotic inhibiting bacterial DNA gyrase. Has minimal direct host gene involvement.",1100
Minoxidil,20,Cardiovascular,"A vasodilator used for hypertension and hair growth stimulation. Moderately affects gene expression in hair follicles.",950
Lamivudine,20,Infectious,"An NRTI active against HIV/HBV reverse transcriptase. Limited interplay with host gene regulation.",1000
Montelukast,21,Respiratory,"A leukotriene receptor antagonist used for asthma/allergies. Modestly changes inflammatory gene expression.",2800
Bupropion,21,Neurological/Psych,"An antidepressant and smoking-cessation aid. Moderate influence on dopaminergic/noradrenergic gene networks.",1100
Citalopram,22,Neurological/Psych,"An SSRI antidepressant primarily affecting serotonin reuptake. Leads to modest neurotrophic gene changes over time.",3100
Dexamethasone,22,Autoimmune,"A potent corticosteroid that modulates a wide array of inflammatory genes.",2200
Rapamycin (Sirolimus),23,Transplant,"An mTOR inhibitor with broader downstream effects on cell cycle and immune regulation genes.",900
Tranexamic Acid,23,Hematology,"An antifibrinolytic that inhibits plasminogen activation. Limited direct gene regulatory involvement in humans.",650
Carbamazepine,24,Neurological/Psych,"An anticonvulsant that modifies neuronal excitability. May show moderate gene expression changes over time.",850
Selegiline,24,Neurological/Psych,"A selective MAO-B inhibitor for Parkinson’s disease. Mild influence on dopaminergic gene expression.",640
Propranolol,25,Cardiovascular,"A nonselective β-blocker with broad receptor blockade. Only mild indirect gene modulation in certain tissues.",1400
Neomycin,25,Infectious,"An aminoglycoside antibiotic interfering with bacterial protein synthesis. Minimal host gene impact.",200
Ketoconazole,26,Infectious,"An antifungal that inhibits ergosterol synthesis. Can affect human steroidogenesis if used systemically.",300
Topiramate,27,Neurological/Psych,"A broad-spectrum antiepileptic that influences multiple channels. Moderate neuronal gene expression changes.",520
Disulfiram,27,Neurological/Psych,"Blocks acetaldehyde dehydrogenase for alcohol dependence. Minimal direct gene-level changes.",120
Palbociclib,28,Cancer,"A CDK4/6 inhibitor for hormone receptor–positive breast cancer. Moderately impacts cell cycle gene networks.",4700
Epoetin Alfa (Erythropoietin),28,Hematology,"Stimulates RBC production by interacting with erythroid progenitors. Triggers moderate gene regulation in hematopoiesis.",3200
Pravastatin,29,Cardiovascular,"A statin (HMG-CoA reductase inhibitor) that lowers LDL. Moderate effects on hepatic lipid-regulating genes.",2000
Ganciclovir,29,Infectious,"An antiviral against CMV that inhibits viral DNA polymerase. Limited host gene regulation effects.",1700
Clonidine,30,Cardiovascular,"An α2-adrenergic agonist that lowers blood pressure via central mechanisms. Mild gene expression changes in CNS.",600
Letrozole,30,Cancer,"An aromatase inhibitor reducing estrogen levels. Causes moderate hormone-regulated gene changes in breast tissue.",950
Levodopa/Carbidopa,31,Neurological/Psych,"A cornerstone Parkinson’s therapy that replenishes dopamine, leading to moderate changes in dopaminergic neuron gene expression.",1500
Haloperidol,31,Neurological/Psych,"A typical antipsychotic that strongly blocks dopamine receptors. Induces moderate changes in neuronal gene pathways.",950
Spironolactone,32,Cardiovascular,"An aldosterone antagonist that affects sodium retention. Influences renal gene expression involved in ion transport.",1850
Raloxifene,32,Cancer,"A SERM modulating estrogen in bone/breast tissue. Leads to moderate gene-level impact on hormone response.",650
Paroxetine,33,Neurological/Psych,"An SSRI that influences serotonin reuptake. Affects neurotrophic gene pathways modestly.",2800
Etanercept,34,Autoimmune,"A TNF-α inhibitor that intercepts cytokine signaling. Moderately or significantly shifts inflammatory gene networks.",3200
Ritonavir,35,Infectious,"An HIV protease inhibitor that can affect both viral and host metabolism (e.g., CYP450).",4200
Glatiramer Acetate,35,Autoimmune,"An MS therapy that modulates T-cell responses. Shifts immune gene expression modestly in some patients.",3100
Indomethacin,36,Pain/Inflammation,"A potent NSAID with COX inhibition. Can have slightly broader inflammatory gene expression effects.",350
Rosiglitazone,36,Diabetes,"A thiazolidinedione that activates PPARγ. Influences a spectrum of metabolic genes involved in glucose/lipid metabolism.",600
Donepezil,37,Neurological/Psych,"An acetylcholinesterase inhibitor used in Alzheimer’s disease. Can moderately affect neuronal gene regulation.",4200
