Indication,ComplexityScore,Category,ProjectedMonetaryValue,TextDescription
Chronic Low Back Pain,62,Pain/Inflammation,8.0,Chronic Low Back Pain is a common condition that is highly complex involving overlapping neural and inflammatory pathways and has a substantial market opportunity given the number of patients affected.
Neuropathic Pain,47,Pain/Inflammation,4.0,Neuropathic Pain is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Osteoarthritis,50,Pain/Inflammation,10.0,Osteoarthritis is a very common condition that is moderately complex involving overlapping neural and inflammatory pathways and has a very large market potential due to its high prevalence and unmet needs.
Migraine,45,Pain/Inflammation,5.0,Migraine is a common condition with moderate complexity involving overlapping neural and inflammatory pathways and has a substantial market opportunity given the number of patients affected.
Fibromyalgia,36,Pain/Inflammation,2.0,Fibromyalgia is a disease with relatively straightforward underlying biology and presents a moderate market opportunity as a niche area in need of better treatments.
Gout,50,Pain/Inflammation,3.0,Gout is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Endometriosis,64,Pain/Inflammation,2.0,Endometriosis is a common condition that is highly complex involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Post-operative Pain,51,Pain/Inflammation,4.0,Post-operative Pain is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Diabetic Neuropathy,42,Pain/Inflammation,2.0,Diabetic Neuropathy is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Postherpetic Neuralgia,53,Pain/Inflammation,2.0,Postherpetic Neuralgia is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Trigeminal Neuralgia,40,Pain/Inflammation,2.0,Trigeminal Neuralgia is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Cancer Pain,59,Pain/Inflammation,5.0,Cancer Pain is a disease with moderate complexity involving overlapping neural and inflammatory pathways and has a substantial market opportunity given the number of patients affected.
Cluster Headache,61,Pain/Inflammation,1.0,Cluster Headache is a disease that is highly complex involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
Interstitial Cystitis,36,Pain/Inflammation,0.5,Interstitial Cystitis is a rare disorder with relatively straightforward underlying biology and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Complex Regional Pain Syndrome (CRPS),48,Pain/Inflammation,0.5,Complex Regional Pain Syndrome (CRPS) is a disease with moderate complexity involving overlapping neural and inflammatory pathways and represents a niche market because of its rarity, though addressing it would fulfill an important unmet need.
Primary Dysmenorrhea,44,Pain/Inflammation,1.0,Primary Dysmenorrhea is a disease with moderate complexity involving overlapping neural and inflammatory pathways and presents a moderate market opportunity as a niche area in need of better treatments.
